Issue key,Pool,Service,Category,Issue Type,Description
IT-60526,L2-Servicedesk,DPC,DPC Policy access issue,Incident,/it/sjclapa04p3_scratch03 on sjfm02 is 91 percent
IT-60523,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjfib263, Service: Vormetric, State: CRITICAL, DETAILS: CRITICAL: Please check vormetric Host settings. Vormetric daemons are running., Service: Vormetric"
IT-60521,asiapac-pool,Database,Database,Incident,"Â  
  

 *From:* Bruce Du <ltdu@cadence.com> 
  *Sent:* Tuesday, January 14, 2020 4:47 PM
  *To:* Ling Xie [C] <shts@cadence.com>; Twinkle Cong [C] <shaid@cadence.com>; Bruce Du <ltdu@cadence.com>; Yongjie Feng <yongjie@cadence.com>
  *Cc:* Xinghui Shen <xinghui@cadence.com>; Andy Ning <andyning@cadence.com>; Brian Zhan [C] <bujun@cadence.com>
  *Subject:* Re: ç­”å¤: Please setup a temp laptop which will send to ZTE shenzhen   

Â  

Thanks a lot, Ling Xie  

Â  

Hi Twinkle 

Â   

Â Pelase send this laptop to Shenzhen and let me know the Exprss number 

Â  

{color:black}The shipping address :Â  cadence Shenzhen office.Â Â {color} 

{color:black}Â {color} 

 {color:black}Â Â Â Contact people :Â Â {color}[{color:black}Yongjie@cadence.com{color}|mailto:Yongjie@cadence.com]{color:black},Â Â  Â å†¯æ°¸æ°ã€‚+8613560768241{color}{color:black}{color} 

Â  

Thanks 

Bruce 

Â  

Â   

 *{color:black} *From:*{color}* {color:black}""Ling Xie [C]"" <{color}[{color:black}shts@cadence.com{color}|mailto:shts@cadence.com]{color:black}>
  *Date:*  Monday, January 13, 2020 at 2:32 PM
  *To:*  Bruce Du <{color}[{color:black}ltdu@cadence.com{color}|mailto:ltdu@cadence.com]{color:black}>
  *Subject:*{color} {color:black}ç­”å¤{color}{color:black}: Please setup a temp laptop which will send to ZTE shenzhen{color}   

Â   

Bruceä½ å¥½ 

Â Â Â Â Â Â Â  æ·±åœ³ä¸­å…´ç¬”è®°æœ¬ç›¸å…³ä¿¡æ¯å¦‚ä¸‹ï¼Œèµ„äº§ç¼–å·ï¼šA311033ï¼Œåºåˆ—å·ï¼šPC04P4CVã€‚ 

Â  
  

 *å‘ä»¶äºº**:* Bruce Du <[ltdu@cadence.com|mailto:ltdu@cadence.com]> 
  *å‘é€æ—¶é—´:* Monday, January 13, 2020 10:46 AM
  *æ”¶ä»¶äºº:* Ling Xie [C] <[shts@cadence.com|mailto:shts@cadence.com]>
  *æŠ„é€:* Xinghui Shen <[xinghui@cadence.com|mailto:xinghui@cadence.com]>; Andy Ning <[andyning@cadence.com|mailto:andyning@cadence.com]>; Brian Zhan [C] <[bujun@cadence.com|mailto:bujun@cadence.com]>; Twinkle Cong [C] <[shaid@cadence.com|mailto:shaid@cadence.com]>
  *ä¸»é¢˜:* Please setup a temp laptop which will send to ZTE shenzhen   

Â  

Hi Ling 

Â  

Pelase get a very old > 4 years. Laptop such like T440P or older temp laptop, we will send it to Shenzhen ZTE 

Â  

And please re-imgat it with standard OS and please name it as:Â Â Â  Â Â Pc-shloanerzte 

Â  

And please give me the S/N,Â  Modules ,Â  Hostname , Â Asset ID etc. informations.. 

Â  

Thanks 

Bruce"
IT-60520,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjwdsl31, Service: LSF Status, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: LSF Status"
IT-60518,VCAD-Pool,Monitoring,IT Monitoring- Ping Server â€“ Automation,Incident,Title 'Unable to ping  sj113lv01 server'.   OMi Alert Id 'd397418c-36a9-71ea-1d73-ac12501e0000'.   CI Name 'sj113lv01'.   Ping failed from wcauedgeprdw04. Ping failed from srv-autoedgein5. Ping failed from srv-autoedgein6. 
IT-60516,coupa-pool,Coupa,Coupa Integration,Incident,"

There is a problem posting the Invoice Void ID : 137991 ; Invoice Number : 49998339 to SAP
SAP Error Exception : Invoice document 100383035 2020 does not exist; "
IT-60515,asiapac-pool,Personal Computing Software,Software Issues,Incident,problem with printer
IT-60511,asiapac-pool,Personal Computing Software,Browser Issues/Crashes,Incident,install Adobe acrobat pro.
IT-60510,asiapac-pool,Jabber,Jabber crashes,Incident,no phone service on my Jabber 
IT-60509,asiapac-pool,Database,Database,Incident,"Fyi 

Â  

Â  
  

 *From:* Bruce Du <ltdu@cadence.com> 
  *Sent:* Monday, January 13, 2020 4:37 PM
  *To:* Twinkle Cong [C] <shaid@cadence.com>; Yuchen Xiao <yuchenx@cadence.com>
  *Cc:* Daisy Cheung <daisyzh@cadence.com>
  *Subject:* å‘å¿«é€’ç»™Missy   

Â  

HI. Missy: è¯·æä¾›å¿«é€’åœ°å€ 

Â  

Hiã€‚Twinkle: Â è¯·æŠŠç›–è¿‡ç« çš„èµ„æ–™ç»™Missy å‘å¿«é€’è¿‡åŽ» 

Â  

Thanks 

Bruce"
IT-60508,asiapac-pool,HP-AM,HP-AM Issue,Incident,update status for A311135 
IT-60499,euro-pool,UNIX,UNIX Create/Delete File System,Service Request,"created the vlpa-backup VM, enabled the backup clients and added the formerly saved folders to remote eudc backups."
IT-60497,L2-Servicedesk,ServerFarm,IT Monitoring â€“ Filesystem,Incident,"This alert is from SiteScope at http://10.9.16.93:8080/SiteScope

Monitor:  1950421325:awslic05.cadence.com -port 5280
Tags:    
Group:    awslic05.cadence.com
Status:   unable to connect to server
Sample #: 41025
Time:     3:30 PM 1/14/20

The thresholds in error are:
status: -998

The thresholds in warning are:


The thresholds in good are:



-----------------------------------------------------
Active edition: Premium. Capacity types available:   OS instances : 15 Available, 8 Used, 7 Remaining.  Transactions : 0 Available, 0 Used, 0 Remaining.  URLs : 0 Available, 0 Used, 0 Remaining.

For info about ordering, upgrades, and support:
   http://www.microfocus.com
   sitescopesales@microfocus.com
   1-800-837-8911
-----------------------------------------------------"
IT-60493,L2-Servicedesk,UNIX,Unix file Permission issues,Incident,"{color:#000000}Hi Experts,{color} {color:#000000}{color} 
  
{color:#000000} Could you help add me to Unix group, platord?{color} {color:#000000}{color} 
  
{color:#000000} Thanks,{color} 
{color:#000000} Steven{color}"
IT-60492,VCAD-Pool,VCAD,VCAD User/Chamber Access,Service Request,"VCAD webportal deleting users from chamber ae02 (see list in detail log). Performed by madhan. Please cleanup Unix account.

LDAP Result: Success

Cadence  Users:

Customer Users:
/usr/local/cadence/bin/removeuser -t [ticket] dboucher ae02
/usr/local/cadence/bin/removeuser -t [ticket] stevena ae02

There is no need to keep the data in the home directory unless there is a request to do so in the Detail Log for this ticket.

If in any doubt contact 'madhan' or 'vcaddem'."
IT-60488,L2-Servicedesk,DPC,DPC Farm Issues,Incident,"Hi IT 

Â  

I canâ€™t connect to my NX DPC session to host : sjdpc-alexkz. 

NX shows error: Connection time out. 

Â  

Could you help ? 

Â  

Thank you. 

-Alex."
IT-60486,asiapac-pool,Personal Computing Hardware,System Reclamation,Service Request,Now that the system install under ticket IT-60462 is complete. Please look up and identify the old system for recovery.
IT-60483,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjfib263, Service: Vormetric, State: CRITICAL, DETAILS: CRITICAL: Please check vormetric Host settings. Vormetric daemons are running., Service: Vormetric"
IT-60480,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjfhua018, Service: AutoMounter Processes, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: AutoMounter Processes"
IT-60479,sharepoint-pool,Monitoring,IT Monitoring- Monitoring incident,Incident,"Alert:Â Unable to connect to the URL https://sp.cadence.com/sites/tfo/drbÂ 

Des:Â Â Unable to connect to the URL https://sp.cadence.com/sites/tfo/drbSource: SiteScope\SHAREPOINT SERVER\https://sp.cadence.com/sites/tfo/drbÂ 

Ci:Â https://sp.cadence.com/sites/tfo/drb"
IT-60477,India-pool,UNIX,UNIX create/modify Directory or Link,Service Request,I am facing issue in  Sj home 
IT-60475,sapsecur-pool,SAP,SAP Application,Service Request,"Hello Mohammed,

Â 

Created a new TOC request (released) - SB3K900845 GOENKAV SD:MOD:SAP-2377-Invoice Modifications.

Please check & confirm.

Â 

Â 

Thanks & Regards,

Vishal Goenka

+919836306260"
IT-60474,coupa-pool,Coupa,Coupa Integration,Incident,"
There is a problem posting the GR 882224  to SAP
SAP Error Exception :  No goods receipt possible for purchase order 490107975 00001;"
IT-60473,coupa-pool,Coupa,Coupa Integration,Incident,"
There is a problem posting the GR 882223  to SAP
SAP Error Exception :  No goods receipt possible for purchase order 490088731 00001;"
IT-60469,Hosting-IAPJ-Datacenter,Datacenter Services,Hardware issues,Incident,Please Assign this ticket to Hosting-India-Datacenter
IT-60468,Hosting-IAPJ-Datacenter,Datacenter Services,Hardware issues,Incident,Please Assign this ticket to Hosting-India-Datacenter to Delete OS IP from WEBISS
IT-60467,Hosting-IAPJ-Datacenter,Datacenter Services,Hardware issues,Incident,Please Assign this ticket to Hosting-India-Datacenter
IT-60466,Hosting-IAPJ-Datacenter,Datacenter Services,Hardware issues,Incident,Please Assign this ticket to Hosting-India-Datacenter
IT-60465,jira-it-pool,JIRA,JIRA Account,Service Request,"Hi Team, 

Â  

Please add my account into JIRA. The JIRA links is as following. 

Â  

[https://jira.cadence.com/login.jsp?os_destination=%2Fsecure%2FForgotLoginDetails.jspa|https://jira.cadence.com/login.jsp?os_destination=%2Fsecure%2FForgotLoginDetails.jspa] 

Â  

Â  

Thanks, 

Bob 

Â  

Â "
IT-60462,asiapac-pool,Personal Computing Hardware,New PC,Task,"Hi Twinkle, 

Â  

Please process the Dell laptop request for new hire peterxu. 

Â  

Dell Precision 3541  

Â  

Thanks, 

Xinghui  

Â "
IT-60461,India-pool,Personal Computing Hardware,System Reclamation,Service Request,Now that the system install under ticket IT-56791 is complete. Please look up and identify the old system for recovery.
IT-60457,asiapac-pool,UNIX,VNC/NX issues,Incident,Unable login to sj-huang1
IT-60454,ccms-pool,CCMS,CCMS Roles,Service Request,"*Hi,* 

Â  

Please update the default PV engineer field for following PRODUCT/PRODLEVEL2 (as per the table below). 

Â  
|{color:#172B4D} FAMILY{color} |{color:#172B4D} PRODUCT{color} |{color:#172B4D} PRODLEVEL2{color} | Default{color:#172B4D} PV{color}{color:#172B4D} ENG{color}INEER{color:#172B4D}{color} | 
|{color:#172B4D} EXT{color} |{color:#172B4D} CCE{color} |{color:#172B4D} ACCURACY_C{color} | deepesh{color:#172B4D}{color} | 
|{color:#172B4D} EXT{color} |{color:#172B4D} CCE{color} |{color:#172B4D} ACCURACY_R{color} | deepesh{color:#172B4D}{color} | 
|{color:#172B4D} EXT{color} |{color:#172B4D} CCE{color} |{color:#172B4D} API{color} | deepesh{color:#172B4D}{color} | 
|{color:#172B4D} EXT{color} |{color:#172B4D} CCE{color} |{color:#172B4D} CM{color} | deepesh{color:#172B4D}{color} | 
|{color:#172B4D} EXT{color} |{color:#172B4D} CCE{color} |{color:#172B4D} DOC{color} | deepesh{color:#172B4D}{color} | 
|{color:#172B4D} EXT{color} |{color:#172B4D} CCE{color} |{color:#172B4D} OTHER{color} | deepesh{color:#172B4D}{color} | 
|{color:#172B4D} EXT{color} |{color:#172B4D} CCE{color} |{color:#172B4D} TEST{color} | deepesh{color:#172B4D}{color} | 
|{color:#172B4D} EXT{color} |{color:#172B4D} QRC{color} |{color:#172B4D} DSPF_OUT{color} | ginu{color:#172B4D}{color} | 
|{color:#172B4D} EXT{color} |{color:#172B4D} QRC{color} |{color:#172B4D} HRCX{color} | ginu{color:#172B4D}{color} | 
|{color:#172B4D} EXT{color} |{color:#172B4D} QRC{color} |{color:#172B4D} R_ACCURACY{color} | hrishi{color:#172B4D}{color} | 
|{color:#172B4D} EXT{color} |{color:#172B4D} QRC{color} |{color:#172B4D} TEST{color} | hrishi{color:#172B4D}{color} | 
 

Â  

Thanks 

Vikas"
IT-60451,asiapac-pool,Personal Computing Software,Windows Profile Issues,Incident,Add system to global domain pc-yjoh
IT-60449,asiapac-pool,Personal Computing Software,Windows Profile Issues,Incident,Add system to global domain pc-jimmydo
IT-60445,ccms-pool,CCMS,CCMS website,Service Request,"Hi team,

Please give me (sanjivb) permissions to edit all options on CCMS for the following product:

Family: FRAMEWORK
Product: CDNSHELP

Regards,
Sanjiv"
IT-60440,L2-Servicedesk,Monitoring,IT Monitoring- Monitoring incident,Incident,"Alert : Memory breached the threshold with
physical memory used %: 97% 

Desc : Memory of jgperf06.cadence.com has reached upto
physical memory used %: 97% The current threshold is physical memory used % > 90Source: SiteScope\Benchmarking server\jgperf06.cadence.com\jgperf06.cadence.com-Memory

CI : jgperf06.cadence.com-Memory"
IT-60438,EntComms-O365,Windows - Infrastructure Services,AD Groups Creation/Modification,Service Request,"Hello Team,

Please modify the type of existing group â€˜cdsj_awrâ€™ from Distrubution to Security Group.

Group: cdsj_awr
Current group: Distribution 


Regards,
Horiai"
IT-60435,Hosting-IAPJ-Datacenter,Datacenter Services,H/W Decommission,Service Request,Please Assign this ticket to Hosting-India-Datacenter
IT-60434,Hosting-IAPJ-Datacenter,Datacenter Services,H/W Decommission,Service Request,Please Assign this ticket to Hosting-India-Datacenter
IT-60433,Hosting-IAPJ-Datacenter,Datacenter Services,H/W Decommission,Service Request,Please Assign this ticket to Hosting-India-Datacenter to Delete OS IP from WEBISS
IT-60432,Hosting-IAPJ-Datacenter,Datacenter Services,H/W Decommission,Service Request,Please Assign this ticket to Hosting-India-Datacenter
IT-60431,Hosting-IAPJ-Datacenter,Hosting-VM,VM issue,Incident,"Hi,

My current VM is RH6.5 and I need to login to RH6 machine to reproduce a customer issue. Please point me the machine and grant access to it."
IT-60429,ccms-pool,CCMS,CCMS Access,Service Request,"Hi, 

I am unable to access http://ccms.cadence.com/cqweb/ using my login details. Please help me fix this issue.

Thanks & Regards,
Niranjana Suresh"
IT-60425,L2-Servicedesk,UNIX,VNC/NX issues,Incident,"Hi, 

My VNC session 172.18.134.220:1Â  is hung since morning. 

Please help in creating a new session and killing the older one. 

Â  

Thanks 

Meenakshi 
|
 !image001.jpg|thumbnail! | | 
|{color:blue}
{color} !image002.jpg|thumbnail!{color:blue}{color} <[http://fortune.com/best-companies/cadence-52/]> |   *{color:#333333} *Meenakshi S*{color}**Â *{color:#333333}Â Â Â {color}Â {color:#E31937}|{color}Â {color:#333333}Â Â Â Lead Design Engineer{color}  {color:#333333}T:Â 91 8041845830Â Â Â Â {color}[{color:#333333}{color}{color:#333333}www.cadence.com{color}{color:#333333}{color}|http://www.cadence.com/]{color:#333333}{color} 
 

Â  

Â "
IT-60420,L2-Servicedesk,UNIX,VNC/NX issues,Incident,"Hi,

Executing the 'tree' command on end-linux opens up a weird GUI rather than showing a tree listing of the dir structure. I am not sure whether this is the 'tree' software usually distributed by default on most Linux distros or something else. See attached."
IT-60419,India-pool,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
blrbm158, Service: AutoMounter Processes, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually"
IT-60417,India-pool,UNIX,Unix  Enable Samba Share,Service Request,"Hi,

VNC server is not working , its seems  window manager has been crashed. 

Thanks,
Ram "
IT-60410,India-pool,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
blrbm158, Service: LSF Status, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually"
IT-60408,coupa-pool,Coupa,Coupa Integration,Incident,"
There is a problem posting the GR 882223  to SAP
SAP Error Exception :  No goods receipt possible for purchase order 490088731 00001;"
IT-60407,coupa-pool,Coupa,Coupa Integration,Incident,"
There is a problem posting the GR 882224  to SAP
SAP Error Exception :  No goods receipt possible for purchase order 490107975 00001;"
IT-60402,L2-Servicedesk,Monitoring,IT Monitoring- Monitoring incident,Incident,"Alert: Utilization rate for CPU 1 has exceeded major threshold. 
	Percentage of time the CPU was busy = 99.980000 (Threshold = 95)
	Percentage of time the CPU utilized in user mode = 99.850000 (Threshold = 95)  [Policy: Sys_CPUSpikeCheck]

Object: CPU 1

CI:sjfgm05"
IT-60394,India-pool,Hosting-VM,Hypervisor Decomission,Service Request,"plz delete below VMs and records

VSRV-ECWRD5A
 VSRV-ECWRD02
 VSRV-ECWRD03
 VSRV-ECWRD04
 VSRV-ECWRD01"
IT-60393,Okta-support-pool,OKTA,Okta account issue,Incident,"Please assign this ticket to Okta team. 

Â  

Iâ€™m one of the administrators supporting RMS. 

Please provide me an administrative privilege for RMS application in Okta prod and Okta test env. 

Thanks."
IT-60392,L2-Servicedesk,UNIX,UNIX create/modify Directory or Link,Service Request,"Hi, 

Can you please grant me ~300GB space in /dv/ area for hosting GCOV reports on hojo server?

Thank you

Regards,
Joy Aneja"
IT-60390,asiapac-pool,Personal Computing Software,Windows Profile Issues,Incident,"*From:* Mike Yoon <mikeyoon@cadence.com> 
  *Sent:* Tuesday, January 14, 2020 2:02 PM
  *To:* Xinghui Shen <xinghui@cadence.com>
  *Subject:* Could you help me for problem PC login issue? 

Â  

Hi Xinghui, 

Â  

My pc is occurring login issue. 

Â  

I canâ€™t login using correct current password. Only working when using old password and disconnecting network. 

Â  

My OS is win10. 

Â  

Could you help me for this issue. 

Â  

Thanks, 

Mike. 

Â  

{color:#1F497D}Â {color} 
  

 *From:* Xinghui Shen 
  *Sent:* Friday, January 3, 2020 7:43 PM
  *To:* Jong-Hwa Park; Jake Kim
  *Subject:* RE: Problem PC login issue   

Â  

Hi Jake, 

Â  

I just found your winroot password, your logon issue is fixed now, please check and let me know if any problem. 

Â   

Â  

Best Regards, 

Xinghui.  

Â  
  

 *From:* Xinghui Shen 
  *Sent:* Friday, January 3, 2020 6:23 PM
  *To:* Jong-Hwa Park <[jonghwa@cadence.com|mailto:jonghwa@cadence.com]>; Jake Kim <[bjkim@cadence.com|mailto:bjkim@cadence.com]>
  *Subject:* Problem PC login issue   

Â  

Hi Jong-Hwa and Jake, 

Â  

Sorry to hear that your system unable to logon, I need your help to update winrootâ€™s password before I can fix this issue. 

Â  

If you are unable to login your system, please try following steps as workaround. 

Â  
# Plug off network cable, and turn off your wireless.
# If it is works, go to user management to update winroot password to â€˜Cadence@123â€™
 if it does not work, try to use your username and password login for 10 times, it will finally let you login, then update the winroot password.
# How to update winroot password? 
 !image001.png|thumbnail!
 

Â  

Â  

Thanks, 

Xinghui 

Â "
IT-60389,L2-Servicedesk,Hosting-VM,VM Provisioning,Service Request,"
Virtual Machine Request

ID: 394

Requester: singhrag

Owner: singhrag

Manager: sushrut

Country: India

VM Location: Noida

VM Type: Virtual Desktop

Network: Regular

OS: RHEL 6.5


vCPU: 1

vMemory(GB): 4

vHDD(GB): 50

Environment: User VM

Duration: 6 Months

Replacement: No

Justification/Notes:




"
IT-60384,ccms-pool,CCMS,CCMS Access,Service Request,"Hi IT experts,  

Â  

Could you help to add Hudson Zhi (hzhi) to CCMS engineer, error: 

Â  

 *_{color:black} *_13:01:43_*{color}_*{color:black}Â -Â Cadence Design Systems ccrupdate Version 1.0 ccr_update_back.pl: On CCR id CCMPR02201805: CCMPR02201805: **ERROR** Problem with one or more fieldname / value sets. NO changes made. Validate failed: CRMUD0054E These fields have invalid values: Engineer... CRMUD0068E The field ""Engineer"" has the value ""hzhi"", but this does not identify an existing instance of record type ""users"".{color} 

{color:black}Â {color} 

Thanks, Yu"
IT-60383,India-pool,Personal Computing Hardware,System Reclamation,Service Request,Now that the system install under ticket IT-52633 is complete. Please look up and identify the old system for recovery.
IT-60381,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
vorm10713, Service: AutoMounter Processes, State: UNKNOWN, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: AutoMounter Processes"
IT-60378,India-pool,Personal Computing Hardware,System Reclamation,Service Request,Now that the system install under ticket IT-59737 is complete. Please look up and identify the old system for recovery.
IT-60372,ccms-pool,CCMS,CCMS Access,Service Request,"jpranav is the id, pls add him to ccms access"
IT-60366,ccms-pool,CCMS,CCMS Roles,Service Request,"Please change CCRs having requestor as jpooja to mbhawna for below-mentioned product since the requestor is has left cadence

Family:PCB
Product:SYSTEM_CAPTURE"
IT-60363,asiapac-pool,Personal Computing Software,BSOD Error,Incident,Please help get bitlocker recovery key and take ownership of TPM
IT-60362,sharepoint-pool,Sharepoint,Sharepoint Access,Incident,"Hi dear, 

Â  

Could you please check my permission in Sharepoint (https://cadence.sharepoint.com/sites/sf/Asia/SitePages/Home.aspx) .. I need the same permission with tingh.. 

And I have apply twice in Sharepoint, now I can access to Asia sales finance, but nothing can be seen on this interface.. 

Â  

Like this: 

!image001.jpg|thumbnail! 

Â  

Could you please help me, itâ€™s very important to me..  

Â  

Looking forward to your reply.. 

Â  

Thanksï¼ 

Â  

Best regards, 

Missy"
IT-60360,L2-Servicedesk,Monitoring,IT Monitoring- Monitoring incident,Incident,"Alert: Memory breached the threshold with
physical memory used %: 98%

Desc: Memory of jgperf07 has reached upto
physical memory used %: 98% The current threshold is physical memory used % > 90Source: SiteScope\Benchmarking server\jgperf07\jgperf07-Memory

CI: jgperf07-Memory"
IT-60357,L2-Servicedesk,ServerFarm,Server Farm - Host Issue,Incident,/it/sjclapa04p3_scratch03 on sjfm02 is 91 percent
IT-60354,L2-Servicedesk,UNIX,VNC/NX issues,Incident,"Hi Team, 

Â  

I am not able to use my sj machine properly. 

Following is the error occurred. 

Please help me with the same. 

Â  

 *[aayushis@sj-aayushis/]$ cd /home/aayushis* 

 */home/aayushis: Stale file handle.* 

Â "
IT-60351,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
vorm10716, Service: AutoMounter Processes, State: UNKNOWN, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: AutoMounter Processes"
IT-60349,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
vorm10713, Service: LSF Status, State: CRITICAL, DETAILS: CRITICAL: Cluster sjlsfvorm - Server status is unreach, Service: LSF Status"
IT-60346,India-pool,Password,Password Reset Failure,Incident,reset password
IT-60344,jira-it-pool,JIRA,JIRA Account,Service Request,"Hi,

I don't have access to login to Jira. Please provide me the access.

 !image-2020-01-14-09-49-09-003.png|thumbnail! "
IT-60342,japan-pool,Access Controls/Exceptions,Bitlocker Recovery Key failure,Incident,System pc-kasai3 prompted to BL keys.
